delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,key_resp.duration,polygon_3.started,polygon_3.stopped,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
0.7,1000,exp,0,0,0,5,7.439441399998032,8.431706499999564,8.431706499999564,8.448255100000097,space,10.39772670000093,None,19.577987500000745,19.880790299997898,19.880790299997898,19.880790299997898,19.880790299997898,250,1,[8.782794099999592],[8.78280580000137],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.4,400,unexp,0,1,1,1,28.658027699999366,29.657694499997888,29.657694499997888,29.657694499997888,space,5.577339300001768,None,35.65578889999961,35.9555537999986,35.9555537999986,35.9555537999986,35.9555537999986,300 ,1,[5.179652200000419],[5.179656200001773],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.1,1000,exp,0,2,2,6,41.1371278000006,42.13684859999921,42.13684859999921,42.13684859999921,space,3.2470716000025277,None,45.50237389999893,45.80216389999987,45.80216389999987,45.80216389999987,45.80216389999987,100,1,[3.5136421999995946],[3.513646499999595],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.4,1000,exp,0,3,3,10,49.317726799999946,50.317425999997795,50.317425999997795,50.317425999997795,space,0.7838660999987042,None,51.533852900000056,51.83368580000024,51.83368580000024,51.83368580000024,51.83368580000024,200 ,1,[5.4153809000017645],[5.415387700002611],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.1,1000,exp,0,4,4,9,57.24828329999946,58.248065199997654,58.248065199997654,58.248065199997654,space,2.4270590000014636,None,60.79731309999988,61.09707960000014,61.09707960000014,61.09707960000014,61.09707960000014,300,1,[2.714779300000373],[2.714782999999443],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.4,1000,exp,0,5,5,4,63.812811100000545,64.81254600000102,64.81254600000102,64.81254600000102,space,0.6217385000018112,None,65.8622804000006,66.1619987999984,66.1619987999984,66.1619987999984,66.1619987999984,150 ,1,[6.0806439999978465],[6.080647700000554],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.7,1000,exp,0,6,6,8,72.24325499999759,73.24312070000087,73.24312070000087,73.24312070000087,space,0.19736470000134432,None,74.15941069999826,74.45933399999922,74.45933399999922,74.45933399999922,74.45933399999922,350,1,[4.5647270000008575],[4.56473349999942],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.4,1000,exp,0,7,7,7,79.02434139999968,80.02400900000066,80.02400900000066,80.02400900000066,space,1.4536457000031078,None,81.90659650000089,82.20658689999982,82.20658689999982,82.20658689999982,82.20658689999982,250,1,[5.064457299999049],[5.064460699999472],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.1,400,unexp,0,8,8,0,87.27151779999986,88.27160939999885,88.27160939999885,88.27160939999885,space,0.8770364000010886,None,89.27107319999777,89.5707388999981,89.5707388999981,89.5707388999981,89.5707388999981,100,1,[2.8972895000006247],[2.8972943000007945],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.1,1000,exp,0,9,9,3,92.46988659999988,93.46951059999992,93.46951059999992,93.46951059999992,space,2.2930765000019164,None,95.88542690000031,96.18512329999794,96.18512329999794,96.18512329999794,96.18512329999794,50,1,[5.564328199998272],[5.56433190000098],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.7,400,unexp,0,10,10,2,101.75004830000034,102.74970359999861,102.74970359999861,102.74970359999861,space,0.8160051000013482,None,104.2825832999988,104.58234059999813,104.58234059999813,104.58234059999813,104.58234059999813,300 ,1,[3.6646806000026118],[3.664684600000328],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
